Name,Disabled,FileName,ExportName,ParticleFileName,ParticleExportName,ParticleStyle,ParticleVariations,ThemeMusic,LoadingJingle,LoadingScreen,CustomButtonName
string,boolean,string,string,string,string,string,int,string,string,string,string
Default,,sc/background_basic.sc,bgr,,,,,MenuMusic,,sc/loading_screens/loading_default.sc,
Winter 2018,,sc/backgrounds/background_winter.sc,bgr,sc/particle_snow.sc,particle_sn0w_,Snow,2,Snow_brawl,,sc/loading_screens/loading_default.sc,
LNY 2019,,sc/backgrounds/background_lny.sc,bgr_cny,,,,,Cnymenu_music,,sc/loading_screens/loading_default.sc,
Clash Royale,,sc/backgrounds/background_royale.sc,bgr_royale,,,,,Brawl_royale_menu_music,,sc/loading_screens/loading_default.sc,
Easter,true,sc/background_basic.sc,bgr,,,,,MenuMusic,,,
Golden Week 2019,,sc/backgrounds/background_golden_week.sc,bgr_golden_week,,,,,Brawl_dawgs_menu,,sc/loading_screens/loading_default.sc,
Retropolis 2019,,sc/backgrounds/background_retropolis.sc,bgr_retropolis,,,,,Retropolis_menu,,sc/loading_screens/loading_default.sc,
Summer of Robots,,sc/backgrounds/background_mecha.sc,bgr_mecha,,,,,MechMenuMusic,,sc/loading_screens/loading_default.sc,
Brawl-o-Ween 2019,,sc/backgrounds/background_brawloween.sc,bgr_brawloween,,,,,Halloween_menu,,sc/loading_screens/loading_default.sc,
Brawlidays 2019,,sc/backgrounds/background_brawlidays.sc,bgr_brawlidays,,,,,Xmas_Pirate_Menu,,sc/loading_screens/loading_brawlidays_19.sc,
LNY 2020,,sc/backgrounds/background_lny_20.sc,bgr_lny20,,,,,Brawlcade_Menu,,sc/loading_screens/loading_brawlcade.sc,
PSG,,sc/backgrounds/background_psg.sc,bgr_psg,,,,,Footbrawl_menu_muzak,sfx/loading_sfx/footbrawl_load_01.ogg,sc/loading_screens/loading_psg.sc,
SC Anniversary,,sc/backgrounds/background_s_anniversary.sc,bgr_s_anniversary,,,,,10th_Anniversary_Menu,sfx/loading_sfx/brawzaar_load_01.ogg,sc/loading_screens/loading_bazaar.sc,
Tara's Bazaar,,sc/backgrounds/background_t_bazaar.sc,bgr_t_bazaar,,,,,Brawzaar_menu_muzak,sfx/loading_sfx/brawzaar_load_01.ogg,sc/loading_screens/loading_bazaar.sc,
Summer of Monsters,,sc/backgrounds/background_scity.sc,bgr_scity,,,,,Monsterbrawl_menu_muzak,sfx/loading_sfx/monster_brawl_load_01.ogg,sc/loading_screens/loading_scity.sc,
Starr Park,,sc/backgrounds/background_giftshop.sc,bgr_giftshop,,,,,Starpark_Menu_Music,sfx/loading_sfx/gift_shop_load_01.ogg,sc/loading_screens/loading_giftshop.sc,
Moon Festival 2020,,sc/backgrounds/background_moon_festival.sc,bgr_moon_festival,,,,,Lunar_Menu_Music,sfx/loading_sfx/gift_shop_load_01.ogg,sc/loading_screens/loading_giftshop.sc,
World Finals 2020,,sc/backgrounds/background_world_finals.sc,bgr_world_finals,,,,,Elprimo_fire_menu,sfx/loading_sfx/gift_shop_load_01.ogg,sc/loading_screens/loading_giftshop.sc,
Brawl-o-Ween 2020,,sc/backgrounds/background_brawloween_20.sc,bgr_brawloween,,,,,Elprimo_fire_menu,sfx/loading_sfx/gift_shop_load_01.ogg,sc/loading_screens/loading_giftshop.sc,
Holiday Getaway,,sc/backgrounds/background_snowtel.sc,bgr_snowtel,,,,,Snowtel_Menu,sfx/loading_sfx/gift_shop_load_01.ogg,sc/loading_screens/loading_snowtel.sc,
Brawlidays 2020,,sc/backgrounds/background_snowtel.sc,bgr_snowtel,sc/particle_snow.sc,particle_sn0w_,Snow,2,Xmas_menu,sfx/loading_sfx/xmas_load_01.ogg,sc/loading_screens/loading_snowtel.sc,
The Starr Force!,,sc/backgrounds/background_ox.sc,bgr_ox,,,,,Space_Brawl_Menu,sfx/loading_sfx/spacelaser_load_01.ogg,sc/loading_screens/loading_spacelaser.sc,
LNY 2021,,sc/backgrounds/background_lny_21.sc,bgr_lny21,,,,,Space_Brawl_LNY_Menu,sfx/loading_sfx/spacelaser_load_01.ogg,sc/loading_screens/loading_spacelaser.sc,
The Goldarm Gang,,sc/backgrounds/background_action.sc,bgr_action,,,,,Action_Western_Menu,sfx/loading_sfx/action_western_load_01.ogg,sc/loading_screens/loading_western.sc,
Ramadan 2021,,sc/backgrounds/background_ramadan.sc,bgr_ramadan,,,,,Brawzaar_menu_muzak,sfx/loading_sfx/action_western_load_01.ogg,sc/loading_screens/loading_western.sc,
China Anniversary,,sc/backgrounds/background_ramadan.sc,bgr_china_anniversary,,,,,Cnymenu_music,sfx/loading_sfx/action_western_load_01.ogg,sc/loading_screens/loading_western.sc,
The Jurassic Splash,,sc/backgrounds/background_vp.sc,bgr_vp,,,,,Summer_Brawl_Menu_Muzak,sfx/loading_sfx/summer_dino_load_01.ogg,sc/loading_screens/loading_vp.sc,
Bad Randoms 2021,,sc/backgrounds/background_punk.sc,bgr_punk,,,,,Punk_Brawl_Menu,sfx/loading_sfx/summer_dino_load_01.ogg,sc/loading_screens/loading_vp.sc,
Once Upon a Brawl,,sc/backgrounds/background_ft.sc,bgr_ft,sc/ui.sc,particle_ember_,Ember,2,Fairytale_Menu,sfx/loading_sfx/fairytale_load_01.ogg,sc/loading_screens/loading_fairytale.sc,
Moon Festival 2021,,sc/backgrounds/background_mf.sc,bgr_mf,,,,,Lunar_Menu_Music,sfx/loading_sfx/fairytale_load_01.ogg,sc/loading_screens/loading_fairytale.sc,
Retropolis 2021,,sc/backgrounds/background_retro.sc,bgr_retro,,,,,Retropolis_menu,sfx/loading_sfx/fairytale_load_01.ogg,sc/loading_screens/loading_fairytale.sc,
